crsCode,subArea,year,crsNum,subName,grade,prName,crsTime,room
CES108-17,공통교육,1,CES108-17,BasicEnglishCommunication2,1,케네스,수1.0-2.5,A314
CES108-18,공통교육,1,CES108-18,BasicEnglishCommunication2,1,버지니아홀테,수1.0-2.5,A310
CES108-19,공통교육,1,CES108-19,BasicEnglishCommunication2,1,멜리사다이앤,화5.0-6.5,A214
CES108-20,공통교육,1,CES108-20,BasicEnglishCommunication2,1,베쓰무어,화3.0-4.5,A310
CES108-21,공통교육,1,CES108-21,BasicEnglishCommunication2,1,덜멋커피,화1.0-2.5,A214
CES108-22,공통교육,1,CES108-22,BasicEnglishCommunication2,1,패트리샤,월7.0-8.5,A314
CES108-23,공통교육,1,CES108-23,BasicEnglishCommunication2,1,존버클리,월7.0-8.5,A328
CES108-24,공통교육,1,CES108-24,BasicEnglishCommunication2,1,베쓰무어,월5.0-6.5,A310
CES108-25,공통교육,1,CES108-25,BasicEnglishCommunication2,1,패트리샤,월5.0-6.5,A314
CES108-26,공통교육,1,CES108-26,BasicEnglishCommunication2,1,테레사메이,월5.0-6.5,A311
CES108-27,공통교육,1,CES108-27,BasicEnglishCommunication2,1,덜멋커피,월3.0-4.5,A214
CES108-28,공통교육,1,CES108-28,BasicEnglishCommunication2,1,매튜스펜서,월3.0-4.5,A313
CES108-29,공통교육,1,CES108-29,BasicEnglishCommunication2,1,캐서린,월1.0-2.5,A311
CES108-30,공통교육,1,CES108-30,BasicEnglishCommunication2,1,멜리사다이앤,월1.0-2.5,A214
CES108-31,공통교육,1,CES108-31,BasicEnglishCommunication2,1,매튜스펜서,금5.0-6.5,A313
CES108-32,공통교육,1,CES108-32,BasicEnglishCommunication2,1,트로이,금3.0-4.5,A313
CES108-33,공통교육,1,CES108-33,BasicEnglishCommunication2,1,멜리사다이앤,금1.0-2.5,A214
CES108-34,공통교육,1,CES108-34,BasicEnglishCommunication2,1,멜리사다이앤,목7.0-8.5,A214
CES108-35,공통교육,1,CES108-35,BasicEnglishCommunication2,1,멜리사다이앤,목5.0-6.5,A214
CES108-36,공통교육,1,CES108-36,BasicEnglishCommunication2,1,더핀폴,목5.0-6.5,A312
CES108-37,공통교육,1,CES108-37,BasicEnglishCommunication2,1,매튜스펜서,목3.0-4.5,A313
CES108-38,공통교육,1,CES108-38,BasicEnglishCommunication2,1,매튜스펜서,목1.0-2.5,A313
CES108-39,공통교육,1,CES108-39,BasicEnglishCommunication2,1,더핀폴,목1.0-2.5,A312
CES108-40,공통교육,1,CES108-40,BasicEnglishCommunication2,1,트로이,수3.0-4.5,A313
CES108-41,공통교육,1,CES108-41,BasicEnglishCommunication2,1,더핀폴,수1.0-2.5,A312
CES108-42,공통교육,1,CES108-42,BasicEnglishCommunication2,1,멜리사다이앤,화3.0-4.5,A214
CES108-43,공통교육,1,CES108-43,BasicEnglishCommunication2,1,매튜스펜서,화1.0-2.5,A313
CES108-44,공통교육,1,CES108-44,BasicEnglishCommunication2,1,버지니아홀테,화1.0-2.5,A310
CES108-45,공통교육,1,CES108-45,BasicEnglishCommunication2,1,매튜스펜서,월5.0-6.5,A313
CES108-46,공통교육,1,CES108-46,BasicEnglishCommunication2,1,더핀폴,월3.0-4.5,A312
CES110-02,공통교육,1,CES110-02,IntegratedEnglish2,1,데이비드파우스트,목7.0-8.5,A312
CES120-01,공통교육,2,CES120-01,R을활용한문제해결,2,한무명초,월3.0-4.5,A212
CES120-02,공통교육,2,CES120-02,R을활용한문제해결,2,한무명초,화5.0-6.5,A212
CES120-03,공통교육,2,CES120-03,R을활용한문제해결,2,한무명초,수6.0-7.5,A212
CES120-05,공통교육,2,CES120-05,R을활용한문제해결,2,배성현,목3.0-4.5,A212
CES121-01,공통교육,2,CES121-01,파이썬을활용한문제해결,2,김호운,월6.0-7.5,A215
CES121-02,공통교육,2,CES121-02,파이썬을활용한문제해결,2,김호운,월8.0-9.5,A215
CES121-03,공통교육,2,CES121-03,파이썬을활용한문제해결,2,배성현,월1.0-2.5,A212
CES121-04,공통교육,2,CES121-04,파이썬을활용한문제해결,2,오진희,월6.0-7.5,A212
CES121-05,공통교육,2,CES121-05,파이썬을활용한문제해결,2,오진희,월8.0-9.5,A212
CES121-06,공통교육,2,CES121-06,파이썬을활용한문제해결,2,안형근,화1.0-2.5,A215
CES121-07,공통교육,2,CES121-07,파이썬을활용한문제해결,2,안형근,화3.0-4.5,A215
CES121-08,공통교육,2,CES121-08,파이썬을활용한문제해결,2,이단영,화1.0-2.5,A212
CES121-09,공통교육,2,CES121-09,파이썬을활용한문제해결,2,이단영,화3.0-4.5,A212
CES121-10,공통교육,2,CES121-10,파이썬을활용한문제해결,2,안형근,수1.0-2.5,A215
CES121-11,공통교육,2,CES121-11,파이썬을활용한문제해결,2,안형근,수3.0-4.5,A215
CES121-12,공통교육,2,CES121-12,파이썬을활용한문제해결,2,배성현,수6.0-7.5,A215
CES121-13,공통교육,2,CES121-13,파이썬을활용한문제해결,2,배성현,수8.0-9.5,A215
CES121-14,공통교육,2,CES121-14,파이썬을활용한문제해결,2,황태욱,수1.0-2.5,A212
CES121-15,공통교육,2,CES121-15,파이썬을활용한문제해결,2,황태욱,수3.0-4.5,A212
CES121-16,공통교육,2,CES121-16,파이썬을활용한문제해결,2,한무명초,수8.0-9.5,A212
CES121-17,공통교육,2,CES121-17,파이썬을활용한문제해결,2,안형근,목1.0-2.5,A212
CES121-18,공통교육,2,CES121-18,파이썬을활용한문제해결,2,안형근,목3.0-4.5,A215
CES121-19,공통교육,2,CES121-19,파이썬을활용한문제해결,2,한무명초,목6.0-7.5,A212
CES121-20,공통교육,2,CES121-20,파이썬을활용한문제해결,2,한무명초,목8.0-9.5,A212
CES121-21,공통교육,2,CES121-21,파이썬을활용한문제해결,2,정선영,금1.0-2.5,A215
CES121-22,공통교육,2,CES121-22,파이썬을활용한문제해결,2,정선영,금3.0-4.5,A215
CES123-01,공통교육,2,CES123-01,융합글쓰기2,2,김영철,월7.0-8.5,A403
CES123-02,공통교육,2,CES123-02,융합글쓰기2,2,김영철,화3.0-4.5,A401
CES123-03,공통교육,2,CES123-03,융합글쓰기2,2,김영철,화5.0-6.5,A404
CES123-04,공통교육,2,CES123-04,융합글쓰기2,2,이채영,월2.0-3.5,A403
CES123-05,공통교육,2,CES123-05,융합글쓰기2,2,이채영,화2.0-3.5,A403
CES123-06,공통교육,2,CES123-06,융합글쓰기2,2,이채영,화4.0-5.5,A403
CES123-07,공통교육,2,CES123-07,융합글쓰기2,2,이채영,수2.0-3.5,A401
CES123-08,공통교육,2,CES123-08,융합글쓰기2,2,이채영,목2.0-3.5,A405
CES123-09,공통교육,2,CES123-09,융합글쓰기2,2,이채영,목4.0-5.5,A405
CES123-10,공통교육,2,CES123-10,융합글쓰기2,2,임택균,수1.0-2.5,A405
CES123-11,공통교육,2,CES123-11,융합글쓰기2,2,임택균,수3.0-4.5,A405
CES123-12,공통교육,2,CES123-12,융합글쓰기2,2,지현배,화1.0-2.5,A404
CES123-13,공통교육,2,CES123-13,융합글쓰기2,2,지현배,화3.0-4.5,A404
CES123-14,공통교육,2,CES123-14,융합글쓰기2,2,지현배,수1.0-2.5,A404
CES123-15,공통교육,2,CES123-15,융합글쓰기2,2,지현배,수3.0-4.5,A404
CES123-16,공통교육,2,CES123-16,융합글쓰기2,2,지현배,목1.0-2.5,A403
CES123-17,공통교육,2,CES123-17,융합글쓰기2,2,최천집,화5.0-6.5,A405
CES123-18,공통교육,2,CES123-18,융합글쓰기2,2,최천집,수5.0-6.5,A405
CES123-19,공통교육,2,CES123-19,융합글쓰기2,2,최천집,수7.0-8.5,A405
CES123-20,공통교육,2,CES123-20,융합글쓰기2,2,최천집,목6.0-7.5,A405
CES123-21,공통교육,2,CES123-21,융합글쓰기2,2,배은혜,화1.0-2.5,A401
CES123-22,공통교육,2,CES123-22,융합글쓰기2,2,이상옥,목1.0-2.5,A406
CES123-23,공통교육,2,CES123-23,융합글쓰기2,2,이상옥,목3.0-4.5,A406
CES123-24,공통교육,2,CES123-24,융합글쓰기2,2,이상숙,월2.0-3.5,A404
CES123-25,공통교육,2,CES123-25,융합글쓰기2,2,이상숙,월4.0-5.5,A405
CES123-26,공통교육,2,CES123-26,융합글쓰기2,2,이원숙,수5.0-6.5,A406
CES123-27,공통교육,2,CES123-27,융합글쓰기2,2,이원숙,목5.0-6.5,A406
CES123-28,공통교육,2,CES123-28,융합글쓰기2,2,이원숙,목7.0-8.5,A406
CES123-29,공통교육,2,CES123-29,융합글쓰기2,2,최옥선,월2.0-3.5,A405
CES123-30,공통교육,2,CES123-30,융합글쓰기2,2,최옥선,월6.0-7.5,A405
CES123-32,공통교육,2,CES123-32,융합글쓰기2,2,최옥선,목8.0-9.5,A401
CES123-33,공통교육,2,CES123-33,융합글쓰기2,2,황지영,목3.0-4.5,A403
CES123-34,공통교육,2,CES123-34,융합글쓰기2,2,황지영,목5.0-6.5,A403
CES123-35,공통교육,2,CES123-35,융합글쓰기2,2,황지영,목7.0-8.5,A403
CES123-36,공통교육,2,CES123-36,융합글쓰기2,2,황지영,금2.0-3.5,A403
CES123-37,공통교육,2,CES123-37,융합글쓰기2,2,김영철,수3.0-4.5,A403
CES123-38,공통교육,2,CES123-38,융합글쓰기2,2,김영철,수5.0-6.5,A403
CES123-39,공통교육,2,CES123-39,융합글쓰기2,2,임택균,화1.0-2.5,A405
